species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Na,0.8438536289773072,12.614306824918511,0.5219713168931798,11.744354630096545,12.09233550802533,2.4315163845273955,3.5450551938995125,2.0008900480905223,2.914339852653587,22.314273797183436,5.219713168931798,10.178440679417005,8.78651716770186,19.965402871164127,478.47370715208143,9.395483704077236,26.35955150310558,33.406164281163505,17.09456062825164,4.262765754627635,6.089665363753764,196.82668407846987,2.0008900480905223,178.77517603591406,231.9727527492773,213.8777470969804,145.45600697423276
K,0.17392060524370623,0.41945557735246797,3.5807183432527756,0.10230623837865073,3.8364839391994026,0.15090170160850983,0.12532514201384715,0.09207561454078565,0.08696030262185311,0.23786200423036297,0.040922495351460295,0.5857032147177754,0.2659962197844919,0.6368563339071007,8.969699449848202,0.1534593575679761,0.4706086965417933,0.7647391318804142,0.4322438571497993,0.12788279797331342,0.26088090786555934,18.824347861671733,0.23018903635196414,17.72455579910124,23.607164505873655,19.89856336464757,9.667939526782494
Ca,1.4970806926493336,3.3933829033384897,1.4970806926493336,1.4970806926493336,11.976645541194669,2.6947452467688007,1.8164579070811915,2.7147063226707915,2.684764708817805,11.16822196716403,1.896302210689156,9.331802984180847,5.139977044762713,7.9544887469434595,20.799441089874744,1.0479564848545335,7.994410898747441,7.265831628324766,7.874644443335495,3.3434802135835118,2.0460102799540896,12.026548230949647,2.794550626278756,4.5910474574579565,9.830829881730624,15.918958031837915,15.12051499575827
Mg,0.41143797572515944,2.139477473770829,0.26332030446410204,0.7817321538778029,12.836864842624975,0.39498045669615306,1.5470067887265995,2.929438387163135,2.353425221147912,2.600288006583008,1.7609545361036822,0.8557909895083317,7.290680929849825,0.9545361036823699,70.76733182472742,0.13166015223205102,1.1026537749434273,0.6418432421312487,0.10697387368854146,0.42789549475416583,0.4772680518411849,0.029623534252211477,0.04114379757251595,0.008228759514503189,0.008228759514503189,0.02221765068915861,0.02221765068915861
Li,0.0,0.01440922190201729,0.0,0.01440922190201729,0.02881844380403458,0.001440922190201729,0.001440922190201729,0.001440922190201729,0.001440922190201729,0.03170028818443804,0.001440922190201729,0.023054755043227664,0.005763688760806916,0.024495677233429394,0.023054755043227664,0.001440922190201729,0.024495677233429394,0.02737752161383285,0.01585014409221902,0.004322766570605187,0.001440922190201729,3.6887608069164264,0.02881844380403458,3.429394812680115,4.293948126801153,4.005763688760807,0.7780979827089337
Cl,-0.1692524682651622,-0.4795486600846262,-0.38363892806770095,-2.8208744710860363,-2.8208744710860363,-2.166431593794076,-1.1932299012693934,-1.1932299012693934,-2.6008462623413258,-5.41607898448519,-3.3568406205923833,-3.6953455571227076,-11.424541607898448,-14.301833568406204,-518.4767277856135,-3.86459802538787,-12.778561354019745,-18.110014104372354,-8.772919605077574,-3.244005641748942,-3.1311706629055003,-227.1086036671368,-1.3822284908321578,-206.91114245416077,-270.83215796897036,-241.29760225669955,-151.19887165021154
SO4,-50.88698259348713,-9.45281918880653,-17.698009494461566,-7.079203797784626,-29.961689014741403,-0.4788873157324894,-0.30815357708003666,-0.241525776630299,-0.44140917797951196,-30.752894145082035,-0.5934038477554759,-15.274423253102357,-1.69900891146831,-15.761639043891064,-62.19288748230199,-1.2055467643874407,-4.14341634046806,-16.9900891146831,-12.159573582077122,-0.46639460314816356,-0.6558674106771051,-1.6032314483218124,-0.3123178146081453,-1.4366619471974682,-0.8744898809028068,-2.0612975764137587,-1.082701757308237
HCO3,-0.0,-5.457584895765045,-0.0,-5.736200340894192,-5.637865477907434,-3.76950308115904,-4.47423626589747,-4.638127704208732,-4.146453389274944,-4.08089681395044,-3.6711682181722827,-4.703684279533237,-5.9164809230365805,-4.195620820768323,-2.1469778418775403,-5.064245443818015,-3.2778287662252525,-7.571784449980333,-5.572308902582929,-5.867313491543202,-5.490363183427298,-1.5897469516192475,-2.294480136357677,-1.5733578077881212,-1.114461780516586,-1.868362396748394,-0.016389143831126263
B,0.8880666049953747,0.16651248843663274,0.02775208140610546,0.11100832562442184,0.22201665124884368,0.0,0.05550416281221092,0.19426456984273816,0.36077705827937095,0.3885291396854763,0.05550416281221092,0.3330249768732655,0.11100832562442184,0.3052728954671601,1.3043478260869565,0.13876040703052728,0.5272895467160037,0.27752081406105455,0.13876040703052728,0.22201665124884368,0.16651248843663274,52.72895467160036,1.6651248843663273,26.08695652173913,51.61887141535615,51.34135060129509,12.488436632747456
SiO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
