Sample_ID,cbe_percent,abs_cbe_percent,passes_5pct_threshold
1,-86.09689019217588,86.09689019217588,False
2,9.835494740609693,9.835494740609693,False
3,-50.85331183101035,50.85331183101035,False
4,-4.635391551477686,4.635391551477686,True
5,3.239666959200284,3.239666959200284,True
6,-6.1318029508610055,6.1318029508610055,False
7,8.534634871723197,8.534634871723197,False
8,13.279825945429954,13.279825945429954,False
9,7.780415650591882,7.780415650591882,False
10,-4.557683827851913,4.557683827851913,True
11,8.155003658461645,8.155003658461645,False
12,-5.259156652882489,5.259156652882489,False
13,6.29899980373772,6.29899980373772,False
14,-6.8924036466807035,6.8924036466807035,False
15,-0.2131283251155463,0.2131283251155463,True
16,3.496479100751619,3.496479100751619,True
17,28.72184817041079,28.72184817041079,False
18,-0.339086255493162,0.339086255493162,True
19,-1.61357803910521,1.61357803910521,True
20,-6.61997624854997,6.61997624854997,False
21,-1.2862106947160643,1.2862106947160643,True
22,10.462784671065624,10.462784671065624,False
23,25.783782206882954,25.783782206882954,False
24,4.697498655119339,4.697498655119339,True
25,8.164680403697542,8.164680403697542,False
26,10.873745781859245,10.873745781859245,False
27,9.300878957806564,9.300878957806564,False
