species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Na,0.8438536289773072,12.614306824918511,0.5219713168931798,11.744354630096545,12.09233550802533,2.4315163845273955,3.5450551938995125,2.0008900480905223,2.914339852653587,22.314273797183436,5.219713168931798,10.178440679417005,8.78651716770186,19.965402871164127,478.47370715208143,9.395483704077236,26.35955150310558,33.406164281163505,17.09456062825164,4.262765754627635,6.089665363753764,196.82668407846987,2.0008900480905223,178.77517603591406,231.9727527492773,213.8777470969804,145.45600697423276
K,0.17392060524370623,0.41945557735246797,3.5807183432527756,0.10230623837865073,3.8364839391994026,0.15090170160850983,0.12532514201384715,0.09207561454078565,0.08696030262185311,0.23786200423036297,0.040922495351460295,0.5857032147177754,0.2659962197844919,0.6368563339071007,8.969699449848202,0.1534593575679761,0.4706086965417933,0.7647391318804142,0.4322438571497993,0.12788279797331342,0.26088090786555934,18.824347861671733,0.23018903635196414,17.72455579910124,23.607164505873655,19.89856336464757,9.667939526782494
Ca,0.7485403463246668,1.6966914516692448,0.7485403463246668,0.7485403463246668,5.9883227705973345,1.3473726233844003,0.9082289535405957,1.3573531613353957,1.3423823544089024,5.584110983582015,0.948151105344578,4.665901492090423,2.5699885223813563,3.9772443734717298,10.399720544937372,0.5239782424272668,3.9972054493737206,3.632915814162383,3.9373222216677477,1.6717401067917559,1.0230051399770448,6.0132741154748235,1.397275313139378,2.2955237287289783,4.915414940865312,7.959479015918958,7.560257497879135
Mg,0.20571898786257972,1.0697387368854145,0.13166015223205102,0.39086607693890146,6.418432421312487,0.19749022834807653,0.7735033943632997,1.4647191935815675,1.176712610573956,1.300144003291504,0.8804772680518411,0.42789549475416583,3.6453404649249124,0.4772680518411849,35.38366591236371,0.06583007611602551,0.5513268874717137,0.32092162106562433,0.05348693684427073,0.21394774737708291,0.23863402592059246,0.014811767126105739,0.020571898786257974,0.004114379757251594,0.004114379757251594,0.011108825344579305,0.011108825344579305
Li,0.0,0.01440922190201729,0.0,0.01440922190201729,0.02881844380403458,0.001440922190201729,0.001440922190201729,0.001440922190201729,0.001440922190201729,0.03170028818443804,0.001440922190201729,0.023054755043227664,0.005763688760806916,0.024495677233429394,0.023054755043227664,0.001440922190201729,0.024495677233429394,0.02737752161383285,0.01585014409221902,0.004322766570605187,0.001440922190201729,3.6887608069164264,0.02881844380403458,3.429394812680115,4.293948126801153,4.005763688760807,0.7780979827089337
Cl,0.1692524682651622,0.4795486600846262,0.38363892806770095,2.8208744710860363,2.8208744710860363,2.166431593794076,1.1932299012693934,1.1932299012693934,2.6008462623413258,5.41607898448519,3.3568406205923833,3.6953455571227076,11.424541607898448,14.301833568406204,518.4767277856135,3.86459802538787,12.778561354019745,18.110014104372354,8.772919605077574,3.244005641748942,3.1311706629055003,227.1086036671368,1.3822284908321578,206.91114245416077,270.83215796897036,241.29760225669955,151.19887165021154
SO4,25.443491296743566,4.726409594403265,8.849004747230783,3.539601898892313,14.980844507370701,0.2394436578662447,0.15407678854001833,0.1207628883151495,0.22070458898975598,15.376447072541017,0.29670192387773797,7.637211626551179,0.849504455734155,7.880819521945532,31.096443741150996,0.6027733821937203,2.07170817023403,8.49504455734155,6.079786791038561,0.23319730157408178,0.32793370533855254,0.8016157241609062,0.15615890730407264,0.7183309735987341,0.4372449404514034,1.0306487882068793,0.5413508786541185
HCO3,0.0,5.457584895765045,0.0,5.736200340894192,5.637865477907434,3.76950308115904,4.47423626589747,4.638127704208732,4.146453389274944,4.08089681395044,3.6711682181722827,4.703684279533237,5.9164809230365805,4.195620820768323,2.1469778418775403,5.064245443818015,3.2778287662252525,7.571784449980333,5.572308902582929,5.867313491543202,5.490363183427298,1.5897469516192475,2.294480136357677,1.5733578077881212,1.114461780516586,1.868362396748394,0.016389143831126263
B,0.2960222016651249,0.05550416281221091,0.009250693802035153,0.03700277520814061,0.07400555041628122,0.0,0.018501387604070305,0.06475485661424606,0.12025901942645699,0.1295097132284921,0.018501387604070305,0.11100832562442182,0.03700277520814061,0.10175763182238669,0.43478260869565216,0.04625346901017576,0.17576318223866788,0.09250693802035152,0.04625346901017576,0.07400555041628122,0.05550416281221091,17.57631822386679,0.5550416281221091,8.695652173913043,17.206290471785383,17.11378353376503,4.162812210915819
SiO2,6.391158896859345,1.963949869347403,4.660220028959939,1.414709651648553,2.679626516651965,1.3581212655826107,0.9819749346737014,1.3148477938851255,1.3814223657274105,1.5645024382936938,0.9986185776342726,2.0804553700714012,1.031905863555415,1.51457150941198,0.08321821480285606,1.4812842234908377,1.6477206530965498,1.7142952249388346,1.7475825108599772,1.4979278664514089,1.0651931494765574,6.574238969425628,0.41609107401428025,9.320440057919878,12.316295790822696,2.6962701596125362,9.686600203052445
